BS_m1_0h	BS_m2_0h	BS_m3_0h	BS_m4_6h_flag	BS_m5_6h_flag	BS_m6_6h_flag	BS_m7_6h_aCD3	BS_m8_6h_aCD3	BS_m9_6h_aCD3	BS_m10_24h_flag	BS_m11_24h_flag	BS_m12_24h_flag	BS_m13_24h_aCD3	BS_m14_24h_aCD3	BS_m15_24h_aCD3
ID=fig|671267.8.peg.670;Name=CTP synthase (EC 6.3.4.2);Ontology_term=KEGG_ENZYME:6.3.4.2	124	190	105	141	362	80	261	40	48	236	299	128	122	59	84
ID=fig|671267.8.peg.671;Name=Inner membrane protein translocase and chaperone YidC%2C long form	54	120	79	97	290	62	131	16	28	190	218	120	106	33	32
ID=fig|671267.8.peg.672;Name=Prolyl oligopeptidase family protein	26	94	52	50	98	50	64	11	18	126	212	104	85	46	46
ID=fig|671267.8.peg.673;Name=hypothetical protein	11	5	0	4	9	2	0	0	1	17	13	6	2	3	0
ID=fig|671267.8.peg.674;Name=RNA pseudouridylate synthase BT0642	102	70	45	38	80	35	64	10	16	123	104	78	50	31	42
ID=fig|671267.8.peg.675;Name=RNA methyltransferase%2C TrmA family	148	96	77	58	117	59	78	18	34	151	188	100	66	90	60
ID=fig|671267.8.peg.676;Name=Pyruvate%2Cphosphate dikinase (EC 2.7.9.1);Ontology_term=KEGG_ENZYME:2.7.9.1	795	1887	1362	497	579	685	457	158	274	2812	2019	1748	1053	850	589
ID=fig|671267.8.peg.677;Name=Integrase	2	0	0	6	3	2	0	0	0	0	4	2	2	4	0
ID=fig|671267.8.peg.678;Name=hypothetical protein	0	0	6	6	3	2	0	0	6	4	6	0	0	0	2
ID=fig|671267.8.peg.679;Name=hypothetical protein	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.680;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.681;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.682;Name=putative mobilization protein	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0
ID=fig|671267.8.peg.683;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.684;Name=Conjugative transposon protein TraA	0	0	2	0	0	0	0	0	0	2	2	4	0	2	0
ID=fig|671267.8.peg.685;Name=hypothetical protein	0	0	0	2	2	0	0	0	0	0	0	4	4	2	2
ID=fig|671267.8.peg.686;Name=FIG00404275: hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0
ID=fig|671267.8.peg.687;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID=fig|671267.8.peg.688;Name=Conjugative transposon protein TraE	0	0	2	0	0	0	0	0	2	0	1	4	0	6	0
ID=fig|671267.8.peg.689;Name=Conjugative transposon protein TraF	0	4	4	2	6	4	8	0	0	10	7	10	2	6	0
ID=fig|671267.8.peg.690;Name=Conjugative transposon protein TraG	0	0	6	0	0	0	0	2	0	6	2	8	2	6	0
ID=fig|671267.8.peg.691;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ID=fig|671267.8.peg.692;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.693;Name=FIG00937099: hypothetical protein	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0
ID=fig|671267.8.peg.694;Name=Conjugative transposon protein TraJ	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.695;Name=Conjugative transposon protein TraK	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
ID=fig|671267.8.peg.696;Name=FIG00938821: hypothetical protein	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
ID=fig|671267.8.peg.697;Name=Conjugative transposon protein TraM	0	4	0	2	0	0	0	0	0	0	0	2	0	1	0
ID=fig|671267.8.peg.698;Name=Conjugative transposon protein TraN	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0
ID=fig|671267.8.peg.699;Name=Conjugative transposon protein TraN	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.700;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID=fig|671267.8.peg.701;Name=Putative mobilization protein BF0133	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0
ID=fig|671267.8.peg.702;Name=Membrane protein	1	0	5	2	0	0	0	0	0	6	2	4	4	2	0
ID=fig|671267.8.peg.703;Name=hypothetical protein	29	8	2	12	8	6	10	0	2	22	14	18	12	8	6
ID=fig|671267.8.peg.704;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.705;Name=hypothetical protein	0	0	0	0	0	0	0	2	0	2	4	4	0	2	0
ID=fig|671267.8.peg.706;Name=DNA mismatch repair protein MutS	0	0	2	0	0	2	2	0	0	2	0	2	0	0	4
ID=fig|671267.8.peg.707;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.708;Name=DNA primase TraC	0	0	0	0	0	4	0	0	0	0	2	6	2	2	0
ID=fig|671267.8.peg.709;Name=hypothetical protein	2	0	2	0	0	2	2	0	2	4	2	6	0	10	0
ID=fig|671267.8.peg.710;Name=hypothetical protein	0	2	0	0	0	0	0	0	0	0	0	4	0	2	2
ID=fig|671267.8.peg.711;Name=DNA topoisomerase III domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.712;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	3	0	4	0	0	0
ID=fig|671267.8.peg.713;Name=hypothetical protein	0	2	0	0	2	2	0	0	0	1	0	7	0	2	0
ID=fig|671267.8.peg.714;Name=FIG00410169: hypothetical protein	2	2	2	0	0	0	0	0	0	0	2	1	2	2	0
ID=fig|671267.8.peg.715;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.716;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.717;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.718;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0
ID=fig|671267.8.peg.719;Name=hypothetical protein	2	0	2	2	0	2	2	0	2	2	0	2	0	0	0
ID=fig|671267.8.peg.720;Name=hypothetical protein	4	10	18	4	16	12	20	6	4	24	52	28	10	18	10
ID=fig|671267.8.peg.721;Name=Ser/Thr protein phosphatase family protein	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.722;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0
ID=fig|671267.8.peg.723;Name=RecD-like DNA helicase YrrC	0	0	2	0	0	0	0	0	0	2	4	0	0	2	0
ID=fig|671267.8.peg.724;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.725;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.726;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
ID=fig|671267.8.peg.727;Name=Type III restriction enzyme%2C res subunit:DEAD/DEAH box helicase%2C N-terminal	2	0	0	8	14	2	4	2	4	6	0	4	4	0	0
ID=fig|671267.8.repeat.26;Name=repeat region	103	13	4	29	15	9	12	2	14	39	42	18	25	27	10
ID=fig|671267.8.peg.728;Name=Abi-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.729;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.730;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.731;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.732;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.733;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.repeat.27;Name=repeat region	121	251	176	128	181	105	126	33	69	272	313	141	131	105	105
ID=fig|671267.8.peg.734;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.735;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.736;Name=Class A beta-lactamase (EC 3.5.2.6) > CfxA family%2C broad-spectrum;Ontology_term=KEGG_ENZYME:3.5.2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.737;Name=Mobilization protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.738;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.739;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.740;Name=excisionase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.741;Name=putative protein involved in transposition	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.742;Name=Integrase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.743;Name=Putative transposase	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.repeat.28;Name=repeat region	12	2	2	4	0	0	6	0	0	3	2	2	10	0	2
ID=fig|671267.8.peg.744;Name=Type III restriction enzyme%2C res subunit:DEAD/DEAH box helicase%2C N-terminal	2	6	8	0	13	2	0	2	0	8	12	10	8	0	0
ID=fig|671267.8.peg.745;Name=hypothetical protein	14	43	18	10	28	10	28	12	4	45	39	24	18	6	0
ID=fig|671267.8.peg.746;Name=Type III restriction-modification system methylation subunit (EC 2.1.1.72);Ontology_term=KEGG_ENZYME:2.1.1.72	36	41	40	34	60	32	28	12	12	113	74	68	74	8	31
ID=fig|671267.8.peg.747;Name=hypothetical protein	18	6	2	4	4	0	6	0	1	5	4	10	2	2	5
ID=fig|671267.8.peg.748;Name=Methyl-accepting chemotaxis protein	14	34	24	11	26	20	33	10	8	44	22	16	29	22	6
ID=fig|671267.8.peg.749;Name=DNA/RNA helicases%2C SNF2 family	246	244	152	155	223	98	183	57	52	335	194	136	251	124	89
ID=fig|671267.8.peg.750;Name=hypothetical protein	32	8	0	6	14	2	4	0	10	17	22	8	14	6	5
ID=fig|671267.8.peg.751;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.752;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.753;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.754;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0
ID=fig|671267.8.peg.755;Name=FIG00416280: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.756;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.757;Name=hypothetical protein	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.758;Name=putative ribose phosphate pyrophosphokinase	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.759;Name=UPF0398 protein ABC2016	2	0	0	0	0	0	0	0	0	2	5	0	3	0	0
ID=fig|671267.8.peg.760;Name=ATP-dependent DNA helicase RecG	12	38	32	24	54	24	46	2	14	76	113	62	59	18	16
ID=fig|671267.8.peg.761;Name=DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	14	12	14	12	26	8	12	0	0	30	24	10	14	14	0
ID=fig|671267.8.peg.762;Name=hypothetical protein	0	0	0	2	4	0	2	0	2	2	2	4	2	0	0
ID=fig|671267.8.peg.763;Name=hypothetical protein	0	6	0	0	2	1	2	2	2	6	4	0	0	1	0
ID=fig|671267.8.peg.764;Name=hypothetical protein	0	2	0	0	2	1	0	0	0	4	0	2	0	0	0
ID=fig|671267.8.peg.765;Name=hypothetical protein	60	114	47	53	41	26	48	10	32	64	74	101	44	53	20
ID=fig|671267.8.peg.766;Name=Two-component transcriptional response regulator%2C LuxR family	12	14	13	3	29	4	12	0	14	20	22	19	12	3	8
ID=fig|671267.8.peg.767;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.768;Name=Outer membrane protein	0	0	2	4	2	0	2	0	0	4	0	0	2	0	2
ID=fig|671267.8.peg.769;Name=RND efflux system%2C membrane fusion protein	0	0	0	0	2	0	0	0	0	0	2	0	4	0	0
ID=fig|671267.8.peg.770;Name=Acidobacterial duplicated orphan permease (function unknown)	0	0	4	0	0	2	4	0	0	8	6	4	0	2	0
ID=fig|671267.8.peg.771;Name=Acidobacterial duplicated orphan permease (function unknown)	0	0	0	0	4	0	2	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.772;Name=Acidobacterial duplicated orphan permease (function unknown)	6	2	4	0	6	2	2	0	0	2	2	0	2	6	2
ID=fig|671267.8.peg.773;Name=Acidobacterial duplicated orphan permease (function unknown)	0	2	2	0	4	0	0	0	0	6	2	4	0	0	0
ID=fig|671267.8.peg.774;Name=Acidobacterial duplicated orphan permease (function unknown)	0	2	0	0	2	4	0	0	0	2	0	4	2	4	0
ID=fig|671267.8.peg.775;Name=ABC-type antimicrobial peptide transport system%2C ATPase component	4	2	5	4	4	4	6	2	0	8	14	14	6	0	6
ID=fig|671267.8.peg.776;Name=Acidobacterial duplicated orphan permease (function unknown)	6	0	3	2	15	4	4	2	2	12	8	8	0	2	0
ID=fig|671267.8.peg.777;Name=Serine palmitoyltransferase (EC 2.3.1.50);Ontology_term=KEGG_ENZYME:2.3.1.50	60	24	24	30	133	16	72	2	0	58	106	16	30	16	22
ID=fig|671267.8.peg.778;Name=Transcription regulator [contains diacylglycerol kinase catalytic domain]	58	80	62	66	108	69	136	34	54	84	118	86	63	32	26
ID=fig|671267.8.peg.779;Name=tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase (EC 2.1.1.223);Ontology_term=KEGG_ENZYME:2.1.1.223	2	12	4	8	18	8	12	0	2	10	12	8	7	0	0
ID=fig|671267.8.peg.780;Name=ATP-dependent protease La (EC 3.4.21.53) Type I;Ontology_term=KEGG_ENZYME:3.4.21.53	84	70	54	101	299	72	252	22	21	101	132	78	70	42	22
ID=fig|671267.8.peg.781;Name=Queuine tRNA-ribosyltransferase (EC 2.4.2.29);Ontology_term=KEGG_ENZYME:2.4.2.29	16	24	4	40	131	38	117	12	11	74	58	20	42	14	16
ID=fig|671267.8.peg.782;Name=Lipopolysaccharide export system permease protein LptG	18	33	28	32	122	26	65	8	8	62	71	32	24	14	8
ID=fig|671267.8.peg.783;Name=Haloacid dehalogenase-like hydrolase	80	111	70	29	52	30	34	20	34	78	147	80	26	50	16
ID=fig|671267.8.peg.784;Name=Thiol:disulfide interchange protein tlpA	552	170	74	68	194	24	112	20	38	167	298	110	50	132	44
ID=fig|671267.8.peg.785;Name=Phosphoserine phosphatase (EC 3.1.3.3);Ontology_term=KEGG_ENZYME:3.1.3.3	26	44	8	18	66	20	36	6	2	95	61	56	48	14	12
ID=fig|671267.8.peg.786;Name=ATP-dependent RNA helicase	70	48	38	36	132	34	54	6	11	145	146	98	66	42	40
ID=fig|671267.8.peg.787;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
ID=fig|671267.8.peg.788;Name=Chain A%2C Metallo-Beta-Lactamase From Bacteroides Fragilis In Complex With A Tricyclic Inhibitor	2	8	2	4	18	4	16	2	0	14	16	6	0	6	2
ID=fig|671267.8.peg.789;Name=Histone acetyltransferase HPA2 and related acetyltransferases	12	6	2	6	8	0	12	0	2	10	28	10	18	6	8
ID=fig|671267.8.peg.790;Name=hypothetical protein	104	41	26	21	50	4	39	0	14	63	69	30	40	22	16
ID=fig|671267.8.peg.791;Name=UDP-glucose 6-dehydrogenase (EC 1.1.1.22);Ontology_term=KEGG_ENZYME:1.1.1.22	22	48	38	41	86	30	50	14	16	60	79	56	26	20	14
ID=fig|671267.8.peg.792;Name=hypothetical protein	97	105	90	60	122	58	95	22	32	125	174	107	76	66	36
ID=fig|671267.8.peg.793;Name=FHA domain protein	53	61	32	19	53	15	36	8	4	79	83	60	51	14	24
ID=fig|671267.8.peg.794;Name=Adenosylcobinamide kinase (EC 2.7.1.156) / Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62);Ontology_term=KEGG_ENZYME:2.7.1.156,KEGG_ENZYME:2.7.7.62	10	24	6	3	17	8	9	2	0	22	22	29	17	8	2
ID=fig|671267.8.peg.795;Name=Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21);Ontology_term=KEGG_ENZYME:2.4.2.21	24	12	22	10	46	23	14	4	0	59	53	48	35	5	6
ID=fig|671267.8.peg.796;Name=Cobalamin synthase (EC 2.7.8.26);Ontology_term=KEGG_ENZYME:2.7.8.26	12	12	12	2	8	7	6	0	0	28	14	20	9	11	4
ID=fig|671267.8.peg.797;Name=Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73);Ontology_term=KEGG_ENZYME:3.1.3.73	2	6	4	2	4	1	0	4	0	17	10	14	4	0	8
ID=fig|671267.8.peg.798;Name=hypothetical protein	2	8	4	6	2	0	8	4	4	8	11	6	9	8	2
ID=fig|671267.8.peg.799;Name=hypothetical protein	2	1	0	0	2	0	0	0	0	0	1	0	3	0	0
ID=fig|671267.8.peg.800;Name=hypothetical protein	36	16	10	12	6	10	8	6	10	40	79	38	16	14	6
ID=fig|671267.8.peg.801;Name=FIG00899114: hypothetical protein	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0
ID=fig|671267.8.peg.802;Name=FIG00899114: hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.803;Name=hypothetical protein	18	24	8	16	34	4	18	2	6	28	26	20	14	8	15
ID=fig|671267.8.peg.804;Name=putative membrane protein	6	2	2	0	2	2	4	0	2	2	4	2	0	0	1
ID=fig|671267.8.peg.805;Name=FIG00898398: hypothetical protein	0	0	0	0	0	0	2	0	0	2	2	0	0	2	0
ID=fig|671267.8.peg.806;Name=tyrosine type site-specific recombinase	6	0	0	0	4	0	2	0	0	0	10	2	0	0	0
ID=fig|671267.8.peg.807;Name=Adenosylcobinamide-phosphate synthase (EC 6.3.1.10);Ontology_term=KEGG_ENZYME:6.3.1.10	0	2	0	0	2	6	2	0	0	6	6	6	0	2	0
ID=fig|671267.8.peg.808;Name=L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81);Ontology_term=KEGG_ENZYME:4.1.1.81	7	3	6	2	10	4	4	0	0	14	6	2	2	0	2
ID=fig|671267.8.peg.809;Name=Cobyric acid synthase (EC 6.3.5.10);Ontology_term=KEGG_ENZYME:6.3.5.10	18	7	8	2	23	0	10	2	0	6	18	8	4	2	3
ID=fig|671267.8.peg.810;Name=ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17) @ ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)%2C cobalamin synthesis;Ontology_term=KEGG_ENZYME:2.5.1.17,KEGG_ENZYME:2.5.1.17	10	4	4	4	17	2	6	0	0	8	4	2	2	0	1
ID=fig|671267.8.peg.811;Name=Cobyrinic acid a%2Cc-diamide synthetase (EC 6.3.5.11);Ontology_term=KEGG_ENZYME:6.3.5.11	18	10	8	4	22	0	10	2	2	20	20	6	6	6	6
ID=fig|671267.8.peg.812;Name=Predicted cobalt transporter in Bacteroides_Porphyromonas	2	10	2	8	56	4	28	0	0	18	22	2	4	0	0
ID=fig|671267.8.peg.813;Name=5%2C10-methylenetetrahydrofolate reductase (EC 1.5.1.20);Ontology_term=KEGG_ENZYME:1.5.1.20	2	0	6	0	0	0	0	0	0	4	0	2	0	0	0
ID=fig|671267.8.peg.814;Name=1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7);Ontology_term=KEGG_ENZYME:2.2.1.7	88	113	126	62	112	62	62	22	78	202	215	115	58	70	35
ID=fig|671267.8.peg.815;Name=hypothetical protein	6	5	2	1	2	2	1	0	0	7	11	5	0	1	3
ID=fig|671267.8.peg.816;Name=Transcriptional regulator%2C AraC family	84	108	59	32	32	30	39	10	20	80	69	58	24	54	19
ID=fig|671267.8.peg.817;Name=Transcriptional regulator%2C AraC family	17	78	36	40	62	28	78	4	12	78	105	50	21	31	13
ID=fig|671267.8.peg.818;Name=hypothetical protein	24	21	30	13	22	8	22	0	13	13	53	22	28	17	16
ID=fig|671267.8.peg.819;Name=hypothetical protein	3	2	3	3	8	0	3	0	0	2	8	4	0	1	4
ID=fig|671267.8.peg.820;Name=Altronate oxidoreductase (EC 1.1.1.58);Ontology_term=KEGG_ENZYME:1.1.1.58	20	68	56	18	56	34	8	8	10	148	202	242	76	28	20
ID=fig|671267.8.peg.821;Name=Uronate isomerase (EC 5.3.1.12);Ontology_term=KEGG_ENZYME:5.3.1.12	72	294	354	120	196	190	110	68	70	558	742	792	249	330	186
ID=fig|671267.8.peg.822;Name=MBL-fold metallo-hydrolase superfamily	6	8	8	6	16	4	24	0	2	20	11	4	6	6	0
ID=fig|671267.8.peg.823;Name=FIG00408572: hypothetical protein	72	10	10	8	8	10	18	0	4	18	26	18	4	4	2
ID=fig|671267.8.peg.824;Name=hypothetical protein	8	4	2	14	7	2	12	0	3	2	13	2	4	7	0
ID=fig|671267.8.peg.825;Name=hypothetical protein	37	18	14	53	59	35	86	12	52	26	90	35	29	29	16
ID=fig|671267.8.peg.826;Name=hypothetical protein	23	6	0	3	4	9	3	0	4	20	6	32	3	8	10
ID=fig|671267.8.peg.827;Name=hypothetical protein	94	72	66	54	118	66	93	24	32	116	155	96	56	59	48
ID=fig|671267.8.peg.828;Name=RNA methyltransferase%2C TrmH family	58	35	38	22	60	16	22	2	12	64	76	42	38	26	26
ID=fig|671267.8.peg.829;Name=hypothetical protein	13	7	3	14	19	8	13	6	0	12	25	24	5	5	3
ID=fig|671267.8.peg.830;Name=hypothetical protein	27	28	22	39	71	34	54	6	10	78	88	89	40	41	18
ID=fig|671267.8.peg.831;Name=Lipoprotein signal peptidase (EC 3.4.23.36);Ontology_term=KEGG_ENZYME:3.4.23.36	69	74	40	68	62	28	72	7	20	140	147	77	50	26	14
ID=fig|671267.8.peg.832;Name=DnaK suppressor protein%2C putative	75	170	121	76	135	87	119	26	45	183	245	141	138	77	36
ID=fig|671267.8.peg.833;Name=Isoleucyl-tRNA synthetase (EC 6.1.1.5);Ontology_term=KEGG_ENZYME:6.1.1.5	193	217	165	228	428	151	371	23	71	358	359	140	201	137	73
ID=fig|671267.8.peg.834;Name=Transcriptional regulator%2C AraC family	250	204	191	126	177	118	118	50	108	317	341	162	174	104	74
ID=fig|671267.8.peg.835;Name=Putative metalloprotease yggG (EC 3.4.24.-);Ontology_term=KEGG_ENZYME:3.4.24.-	13	46	12	6	36	4	24	2	1	61	64	30	20	6	6
ID=fig|671267.8.peg.836;Name=4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14);Ontology_term=KEGG_ENZYME:4.1.3.16,KEGG_ENZYME:4.1.2.14	116	172	173	74	98	84	74	40	28	225	342	380	132	145	82
ID=fig|671267.8.peg.837;Name=2-dehydro-3-deoxygluconokinase (EC 2.7.1.45);Ontology_term=KEGG_ENZYME:2.7.1.45	66	163	105	70	97	52	54	50	48	182	254	242	110	123	49
ID=fig|671267.8.peg.838;Name=Transcriptional regulator%2C LacI family / ABC transporter%2C substrate-binding protein (cluster 2%2C ribose/xylose/arabinose/galactose)	28	41	36	18	36	24	18	4	6	69	70	47	26	12	6
ID=fig|671267.8.peg.839;Name=Altronate dehydratase (EC 4.2.1.7);Ontology_term=KEGG_ENZYME:4.2.1.7	96	231	180	112	164	124	128	86	54	320	329	266	173	120	108
ID=fig|671267.8.peg.840;Name=Methionine transporter MetT	63	204	219	105	185	124	158	68	80	198	232	191	98	123	59
ID=fig|671267.8.peg.841;Name=hypothetical protein	61	139	81	73	103	63	75	22	56	119	242	159	48	73	70
ID=fig|671267.8.peg.842;Name=DNA-cytosine methyltransferase (EC 2.1.1.37);Ontology_term=KEGG_ENZYME:2.1.1.37	20	10	20	2	33	6	34	6	2	19	28	18	12	2	10
ID=fig|671267.8.peg.843;Name=hypothetical protein	0	8	8	4	23	3	4	0	0	25	36	9	13	8	6
ID=fig|671267.8.peg.844;Name=Very-short-patch mismatch repair endonuclease (G-T specific)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.845;Name=FIG00896355: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.846;Name=hypothetical protein	4	12	2	11	15	1	17	0	2	4	21	2	9	1	0
ID=fig|671267.8.peg.847;Name=Putative surface protein	21	42	38	46	74	27	61	14	28	20	23	28	5	36	22
ID=fig|671267.8.peg.848;Name=Di-tripeptide/cation symporter	143	408	420	136	230	208	148	46	84	536	481	431	299	264	212
ID=fig|671267.8.peg.849;Name=Cys-tRNA(Pro) deacylase YbaK	9	40	55	34	86	26	44	16	28	37	49	34	57	31	25
ID=fig|671267.8.peg.850;Name=Excinuclease ABC subunit A	223	322	225	202	360	190	436	101	90	309	297	153	163	183	101
ID=fig|671267.8.peg.851;Name=LysM-repeat proteins and domains	20	50	40	54	155	56	106	10	14	74	73	57	52	46	42
ID=fig|671267.8.peg.852;Name=hypothetical protein	55	72	46	34	77	52	60	14	18	60	60	49	24	60	30
ID=fig|671267.8.peg.853;Name=hypothetical protein	38	20	16	4	56	18	26	2	6	43	40	22	18	14	6
ID=fig|671267.8.peg.854;Name=DNA-directed RNA polymerase omega subunit (EC 2.7.7.6);Ontology_term=KEGG_ENZYME:2.7.7.6	114	47	41	27	70	16	59	4	2	105	145	70	80	16	34
ID=fig|671267.8.peg.855;Name=Outer membrane assembly lipoprotein YfiO	57	57	44	54	138	32	104	14	10	94	117	68	62	32	18
ID=fig|671267.8.peg.856;Name=Excinuclease ABC subunit B	6	61	34	44	69	56	46	18	14	76	104	40	24	22	14
ID=fig|671267.8.peg.857;Name=hypothetical protein	6	14	8	10	41	23	14	2	16	19	13	12	9	6	4
ID=fig|671267.8.peg.858;Name=FIG000605: protein co-occurring with transport systems (COG1739)	8	18	18	14	24	16	13	2	8	28	41	13	12	15	10
ID=fig|671267.8.peg.859;Name=cd06127 DEDDh DNA polymerase III 3'-5' exonuclease domain	24	18	15	8	30	17	21	6	12	33	38	23	8	11	14
ID=fig|671267.8.peg.860;Name=putative patatin-like phospholipase	58	94	95	90	210	92	173	48	54	125	174	113	55	77	55
ID=fig|671267.8.peg.861;Name=Mannonate dehydratase (EC 4.2.1.8);Ontology_term=KEGG_ENZYME:4.2.1.8	186	160	198	122	222	125	145	30	46	165	187	159	134	135	73
ID=fig|671267.8.peg.862;Name=Pullulanase (EC 3.2.1.41);Ontology_term=KEGG_ENZYME:3.2.1.41	42	68	43	48	161	57	59	18	8	92	171	126	27	50	28
