PD_m1_0h	PD_m2_0h	PD_m3_0h	PD_m4_6h_flag	PD_m5_6h_flag	PD_m6_6h_flag	PD_m7_6h_aCD3	PD_m8_6h_aCD3	PD_m9_6h_aCD3	PD_m10_24h_flag	PD_m11_24h_flag	PD_m12_24h_flag	PD_m13_24h_aCD3	PD_m14_24h_aCD3	PD_m15_24h_aCD3
ID=fig|823.92.peg.975;Name=FIG00897849: hypothetical protein	22	64	45	32	64	32	80	14	37	82	138	73	102	29	26
ID=fig|823.92.peg.976;Name=Holliday junction DNA helicase RuvA	14	6	6	12	12	4	14	8	11	34	24	16	8	4	12
ID=fig|823.92.peg.977;Name=Gluconolactonase	6	2	8	8	11	4	6	0	4	11	20	14	4	4	6
ID=fig|823.92.peg.978;Name=Trk potassium uptake system protein TrkH	8	6	10	17	22	10	20	12	15	33	30	33	10	18	10
ID=fig|823.92.peg.979;Name=Trk potassium uptake system protein TrkA	22	12	30	17	40	24	25	20	23	50	78	46	29	18	20
ID=fig|823.92.peg.980;Name=1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7);Ontology_term=KEGG_ENZYME:2.2.1.7	29	48	42	28	72	40	64	26	18	70	97	77	62	29	22
ID=fig|823.92.peg.981;Name=hypothetical protein	4	0	0	0	0	4	1	0	0	5	6	4	2	0	0
ID=fig|823.92.peg.982;Name=FIG00898754: hypothetical protein	668	300	156	133	139	62	207	38	164	333	563	295	400	144	84
ID=fig|823.92.peg.983;Name=TPR-repeat-containing protein	14	2	0	0	0	0	4	0	2	8	8	0	6	0	2
ID=fig|823.92.peg.984;Name=Inositol-1-monophosphatase (EC 3.1.3.25);Ontology_term=KEGG_ENZYME:3.1.3.25	4	4	6	14	6	8	18	2	10	16	22	20	14	6	0
ID=fig|823.92.peg.985;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	15	16	30	21	22	16	30	16	20	26	45	64	25	24	12
ID=fig|823.92.peg.986;Name=FIG00935594: hypothetical protein	47	86	110	99	134	126	178	118	112	153	134	206	98	86	42
ID=fig|823.92.peg.987;Name=FIG00896779: hypothetical protein	34	92	104	50	80	116	122	76	70	120	63	126	49	66	20
ID=fig|823.92.peg.988;Name=FIG00899009: hypothetical protein	10	12	14	22	17	12	16	7	14	16	39	10	7	8	5
ID=fig|823.92.peg.989;Name=Arginase (EC 3.5.3.1);Ontology_term=KEGG_ENZYME:3.5.3.1	130	220	227	112	201	235	224	138	199	194	184	327	121	238	91
ID=fig|823.92.peg.990;Name=Ornithine aminotransferase (EC 2.6.1.13);Ontology_term=KEGG_ENZYME:2.6.1.13	124	190	218	170	282	331	191	213	225	214	189	301	94	255	98
ID=fig|823.92.peg.991;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.992;Name=VCBS precursor	2	10	8	4	2	11	10	4	6	6	2	4	6	4	6
ID=fig|823.92.peg.993;Name=hypothetical protein	4	6	12	0	8	8	12	0	8	2	6	4	4	2	0
ID=fig|823.92.peg.994;Name=hemagglutinin protein HagC	0	0	0	2	2	0	0	0	0	4	0	0	0	0	0
ID=fig|823.92.peg.995;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.996;Name=hypothetical protein	4	6	4	0	2	0	4	4	0	2	4	4	0	0	0
ID=fig|823.92.peg.997;Name=hypothetical protein	0	2	0	2	4	2	0	0	0	0	1	0	1	2	0
ID=fig|823.92.peg.998;Name=hypothetical protein	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ID=fig|823.92.peg.999;Name=hypothetical protein	2	23	70	13	27	32	32	14	35	30	17	26	32	32	17
ID=fig|823.92.peg.1000;Name=FIG00897820: hypothetical protein	53	164	132	91	175	117	192	86	91	213	236	225	188	123	68
ID=fig|823.92.peg.1001;Name=D-alanine--D-alanine ligase (EC 6.3.2.4);Ontology_term=KEGG_ENZYME:6.3.2.4	33	49	42	42	79	41	74	30	36	77	92	117	31	33	22
ID=fig|823.92.peg.1002;Name=Ribosomal large subunit pseudouridine synthase D (EC 5.4.99.23);Ontology_term=KEGG_ENZYME:5.4.99.23	21	35	18	18	41	20	41	20	18	52	33	21	38	19	10
ID=fig|823.92.peg.1003;Name=FIG00938099: hypothetical protein	22	15	26	24	33	14	31	18	18	32	24	27	28	12	4
ID=fig|823.92.peg.1004;Name=LSU ribosomal protein L34p	48	12	28	6	22	10	26	6	12	20	50	18	45	28	6
ID=fig|823.92.peg.1005;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|823.92.peg.1006;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.1007;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0
ID=fig|823.92.peg.1008;Name=hypothetical protein	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
ID=fig|823.92.peg.1009;Name=Transposase	18	22	24	20	34	24	48	20	40	20	26	54	20	24	16
ID=fig|823.92.peg.1010;Name=TPR-domain containing protein	24	32	26	18	26	22	26	6	14	48	106	74	36	24	16
ID=fig|823.92.peg.1011;Name=Oxaloacetate decarboxylase gamma chain (EC 4.1.1.3);Ontology_term=KEGG_ENZYME:4.1.1.3	10	10	20	8	2	8	8	0	8	34	49	19	16	16	0
ID=fig|823.92.peg.1012;Name=Oxaloacetate decarboxylase alpha chain (EC 4.1.1.3);Ontology_term=KEGG_ENZYME:4.1.1.3	74	202	248	20	74	66	20	25	32	376	406	254	103	76	36
ID=fig|823.92.peg.1013;Name=Oxaloacetate decarboxylase beta chain (EC 4.1.1.3);Ontology_term=KEGG_ENZYME:4.1.1.3	82	130	136	18	42	14	24	9	18	254	228	177	69	64	18
ID=fig|823.92.peg.1014;Name=FIG00896368: hypothetical protein	270	402	426	301	542	530	678	272	328	775	919	907	510	443	191
ID=fig|823.92.peg.1015;Name=FIG00896635: hypothetical protein	12	26	26	7	8	11	18	6	2	36	38	25	27	16	6
ID=fig|823.92.peg.1016;Name=Endo-1%2C4-beta-xylanase (EC 3.2.1.8);Ontology_term=KEGG_ENZYME:3.2.1.8	58	108	108	69	112	54	122	66	64	312	257	266	130	59	34
ID=fig|823.92.peg.1017;Name=hypothetical protein	0	6	8	0	0	2	0	2	2	8	6	12	6	1	2
ID=fig|823.92.peg.1018;Name=Two-component system response regulator protein	4	2	0	3	2	0	6	2	0	4	0	4	5	0	0
ID=fig|823.92.peg.1019;Name=putative two-component system sensor but no kinase domain	0	4	0	1	8	0	6	2	2	6	4	8	3	2	4
ID=fig|823.92.peg.1020;Name=Putative TonB-dependent receptor	92	47	88	111	107	83	90	66	109	70	74	64	142	54	53
ID=fig|823.92.peg.1021;Name=Serine protease inhibitor (serpin family)	537	473	271	326	643	509	940	506	826	298	482	404	486	357	283
ID=fig|823.92.peg.1022;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.1023;Name=hypothetical protein	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.1024;Name=FIG00897503: hypothetical protein	12	10	16	8	12	3	16	14	15	14	55	51	18	10	2
ID=fig|823.92.peg.1025;Name=FIG00898310: hypothetical protein	6	10	6	10	26	28	24	10	31	15	33	31	16	8	1
ID=fig|823.92.peg.1026;Name=Serine protease inhibitor (serpin family)	20	92	74	122	209	265	254	146	274	83	180	160	152	64	97
ID=fig|823.92.peg.1027;Name=GTP cyclohydrolase I (EC 3.5.4.16) type 1;Ontology_term=KEGG_ENZYME:3.5.4.16	18	23	19	25	65	6	43	8	8	25	25	32	22	10	4
ID=fig|823.92.peg.1028;Name=FIG00898413: hypothetical protein	47	23	33	5	54	22	34	8	11	24	47	29	34	12	11
ID=fig|823.92.peg.1029;Name=Triosephosphate isomerase (EC 5.3.1.1);Ontology_term=KEGG_ENZYME:5.3.1.1	95	259	282	148	296	183	283	102	93	315	514	344	288	152	87
ID=fig|823.92.peg.1030;Name=FIG00694335: hypothetical protein	26	30	47	25	85	30	58	38	25	57	74	46	39	27	14
ID=fig|823.92.peg.1031;Name=FIG00897221: hypothetical protein	72	36	31	38	53	54	74	24	37	61	65	56	53	33	12
ID=fig|823.92.peg.1032;Name=Peptidase%2C M23/M37 family	294	216	232	165	343	186	300	88	114	336	397	284	272	262	78
ID=fig|823.92.peg.1033;Name=ATP-dependent DNA helicase RecG (EC 3.6.4.12);Ontology_term=KEGG_ENZYME:3.6.4.12	6	23	26	16	39	16	20	6	20	28	24	36	14	14	12
ID=fig|823.92.peg.1034;Name=2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60);Ontology_term=KEGG_ENZYME:2.7.7.60	16	25	24	25	36	19	35	14	18	38	29	43	15	18	7
ID=fig|823.92.peg.1035;Name=Exodeoxyribonuclease VII small subunit (EC 3.1.11.6);Ontology_term=KEGG_ENZYME:3.1.11.6	11	9	8	7	8	5	11	2	8	5	19	18	3	10	7
ID=fig|823.92.peg.1036;Name=Exodeoxyribonuclease VII large subunit (EC 3.1.11.6);Ontology_term=KEGG_ENZYME:3.1.11.6	21	23	30	10	24	32	30	10	12	33	44	31	36	24	14
ID=fig|823.92.peg.1037;Name=Subtilisin-like serine proteases	10	45	31	26	47	40	54	16	12	56	74	50	34	44	12
ID=fig|823.92.peg.1038;Name=Transcriptional regulator%2C AsnC family	82	92	89	76	84	56	138	36	84	166	282	256	106	90	60
ID=fig|823.92.peg.1039;Name=FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8);Ontology_term=KEGG_ENZYME:5.2.1.8	35	54	62	62	102	43	126	38	49	86	184	108	70	56	12
ID=fig|823.92.peg.1040;Name=FKBP-type peptidyl-prolyl cis-trans isomerase FklB (EC 5.2.1.8);Ontology_term=KEGG_ENZYME:5.2.1.8	17	4	27	24	48	20	54	2	19	40	78	44	36	28	6
ID=fig|823.92.peg.1041;Name=NAD-dependent protein deacetylase of SIR2 family	38	130	148	72	140	114	126	80	126	152	130	206	111	120	54
ID=fig|823.92.peg.1042;Name=FIG00896559: hypothetical protein	18	44	60	20	18	24	24	14	34	84	283	132	45	40	20
ID=fig|823.92.repeat.11;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|823.92.peg.1043;Name=Modification methylase	4	2	0	2	0	0	0	0	0	10	4	0	8	6	0
ID=fig|823.92.peg.1044;Name=hypothetical protein	2	0	0	3	0	0	0	2	2	0	2	0	0	0	0
ID=fig|823.92.peg.1045;Name=Chain A%2C Restriction Endonuclease Mvai In The Absence Of Dna	2	9	0	12	8	4	5	2	4	8	6	0	10	4	4
ID=fig|823.92.peg.1046;Name=FIG00897664: hypothetical protein	8	23	12	19	28	18	59	16	32	8	18	14	18	8	4
ID=fig|823.92.peg.1047;Name=Na+/H+ antiporter NhaC	6	8	10	0	4	0	8	4	6	14	18	8	4	4	4
ID=fig|823.92.peg.1048;Name=Na(+)/H(+) antiporter	12	20	16	24	26	18	38	18	14	38	13	12	26	16	4
ID=fig|823.92.peg.1049;Name=Na+/H+-dicarboxylate symporter	10	22	14	16	21	4	14	4	7	27	42	28	23	17	12
ID=fig|823.92.peg.1050;Name=putative DNA polymerase III epsilon chain	6	10	13	10	7	10	20	8	11	22	19	17	13	6	13
ID=fig|823.92.peg.1051;Name=Tricorn protease homolog 1 (EC 3.4.21.-);Ontology_term=KEGG_ENZYME:3.4.21.-	84	202	222	135	172	148	164	130	140	250	232	370	168	168	113
ID=fig|823.92.peg.1052;Name=hypothetical protein	4	2	4	7	6	2	16	0	0	16	9	4	8	8	2
ID=fig|823.92.peg.1053;Name=hypothetical protein	0	2	3	6	2	0	3	0	2	3	5	0	7	2	1
ID=fig|823.92.peg.1054;Name=Putative surface protein	4	10	13	13	36	10	21	14	12	9	10	4	15	8	1
ID=fig|823.92.repeat.12;Name=repeat region	55	10	2	2	3	4	7	2	5	7	6	19	4	13	4
ID=fig|823.92.peg.1055;Name=FIG00896559: hypothetical protein	53	106	102	86	95	58	117	50	71	229	248	355	152	83	72
ID=fig|823.92.peg.1056;Name=Transposase	118	86	94	72	120	104	160	42	76	112	128	170	120	113	78
ID=fig|823.92.peg.1057;Name=Sensor histidine kinase	55	58	50	16	30	34	24	24	34	86	79	82	78	47	32
ID=fig|823.92.peg.1058;Name=putative Tricorn-like protease	26	122	108	80	97	102	91	54	44	262	271	272	126	122	50
ID=fig|823.92.peg.1059;Name=Putative surface protein	32	37	29	15	35	18	40	19	23	38	46	37	25	19	12
ID=fig|823.92.peg.1060;Name=FIG00897464: hypothetical protein	4	25	18	15	30	18	21	12	14	29	26	32	19	15	4
ID=fig|823.92.peg.1061;Name=FIG00896403: hypothetical protein	11	30	42	63	69	57	124	41	66	40	48	41	39	35	12
ID=fig|823.92.peg.1062;Name=RNA polymerase ECF-type sigma factor	45	23	40	45	93	70	145	94	96	10	42	21	18	37	8
ID=fig|823.92.peg.1063;Name=Alpha-1%2C2-mannosidase	58	124	76	92	148	136	224	66	94	182	178	144	154	66	58
ID=fig|823.92.peg.1064;Name=UPF0145 protein YbjQ	16	32	27	28	39	35	82	30	34	34	55	46	40	28	20
ID=fig|823.92.peg.1065;Name=FIG00519608: hypothetical protein	12	44	29	26	35	39	48	10	36	50	81	51	48	29	28
ID=fig|823.92.repeat.13;Name=repeat region	44	24	26	43	42	32	56	14	13	53	117	67	35	34	13
ID=fig|823.92.peg.1066;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.1067;Name=alpha-L-fucosidase (EC 3.2.1.51);Ontology_term=KEGG_ENZYME:3.2.1.51	41	70	86	66	90	90	120	44	42	160	158	121	122	64	28
ID=fig|823.92.peg.1068;Name=Sensory box histidine kinase/response regulator	13	8	12	6	8	12	14	6	4	22	44	33	8	16	2
ID=fig|823.92.peg.1069;Name=4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27);Ontology_term=KEGG_ENZYME:1.13.11.27	71	216	149	34	52	47	45	33	51	306	198	585	202	133	66
ID=fig|823.92.peg.1070;Name=Carboxylesterase%2C type B	1756	810	939	78	130	153	179	179	159	757	523	1369	559	1294	164
ID=fig|823.92.peg.1071;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	28	93	42	10	21	22	32	10	28	223	146	371	116	43	22
ID=fig|823.92.peg.1072;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	68	130	74	36	12	18	35	6	26	420	297	494	261	62	51
ID=fig|823.92.peg.1073;Name=Oxidoreductase%2C N-terminal precursor	307	173	156	40	42	58	99	59	51	365	239	510	190	190	83
ID=fig|823.92.peg.1074;Name=putative multi-domain protein	18	18	12	12	8	6	20	3	4	58	62	43	42	11	4
ID=fig|823.92.peg.1075;Name=Myo-inositol 2-dehydrogenase (EC 1.1.1.18);Ontology_term=KEGG_ENZYME:1.1.1.18	16	28	18	16	14	4	26	12	18	18	42	49	20	11	14
ID=fig|823.92.peg.1076;Name=DNA-binding response regulator%2C AraC family	13	6	14	12	15	18	28	16	6	18	14	12	18	8	8
ID=fig|823.92.peg.1077;Name=hypothetical protein	41	22	40	18	29	24	48	14	36	38	28	50	20	26	30
ID=fig|823.92.peg.1078;Name=FIG00897180: hypothetical protein	10	7	11	14	35	18	36	4	16	16	32	19	10	23	4
ID=fig|823.92.peg.1079;Name=hypothetical protein	5	1	4	12	14	11	37	2	24	12	10	16	22	7	6
ID=fig|823.92.peg.1080;Name=hypothetical protein	20	5	1	6	4	0	4	0	0	8	6	4	8	8	2
ID=fig|823.92.peg.1081;Name=hypothetical protein	46	12	5	4	2	2	0	1	2	13	8	5	5	10	8
ID=fig|823.92.peg.1082;Name=Mobilization protein BmpH	2	0	6	0	2	2	14	2	0	2	6	2	0	0	0
ID=fig|823.92.peg.1083;Name=hypothetical protein	159	114	80	45	39	42	41	41	25	50	50	30	62	88	20
ID=fig|823.92.peg.1084;Name=FIG00408175: hypothetical protein	3	2	0	2	3	10	2	4	2	0	0	2	4	0	0
ID=fig|823.92.peg.1085;Name=Transposase	23	12	20	8	11	10	17	10	12	14	0	28	2	14	4
ID=fig|823.92.peg.1086;Name=hypothetical protein	6	12	16	12	18	8	29	18	19	22	30	30	14	4	9
ID=fig|823.92.peg.1087;Name=hypothetical protein	4	8	4	13	18	2	20	6	1	20	17	13	6	2	10
ID=fig|823.92.peg.1088;Name=hypothetical protein	14	4	6	2	7	6	6	8	4	12	13	2	6	8	8
ID=fig|823.92.peg.1089;Name=Peptide chain release factor 2 @ programmed frameshift-containing	26	31	40	30	70	39	52	26	17	69	56	42	41	42	8
ID=fig|823.92.peg.1090;Name=Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3);Ontology_term=KEGG_ENZYME:6.2.1.3	18	28	34	20	76	14	44	20	24	81	93	64	64	30	20
ID=fig|823.92.peg.1091;Name=Transcriptional regulator%2C PadR family	0	11	4	12	17	16	18	14	15	29	30	31	8	47	21
ID=fig|823.92.peg.1092;Name=Glutamate synthase [NADPH] large chain (EC 1.4.1.13);Ontology_term=KEGG_ENZYME:1.4.1.13	8	83	62	50	95	70	118	116	63	107	174	119	66	75	44
ID=fig|823.92.peg.1093;Name=HIT family protein	54	55	41	45	70	54	101	33	31	67	37	44	81	30	2
ID=fig|823.92.peg.1094;Name=Transcription elongation factor GreA	63	131	69	81	120	66	121	49	61	106	143	98	120	68	28
ID=fig|823.92.peg.1095;Name=FIG00897677: hypothetical protein	30	42	32	24	90	38	72	20	12	64	141	102	101	70	40
ID=fig|823.92.peg.1096;Name=Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8);Ontology_term=KEGG_ENZYME:2.7.7.8	66	230	204	226	674	288	500	188	216	406	718	290	396	178	100
ID=fig|823.92.peg.1097;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.repeat.14;Name=repeat region	0	2	6	4	11	10	7	1	3	6	3	9	10	5	0
ID=fig|823.92.peg.1098;Name=Mobile element protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.1099;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.1100;Name=Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8);Ontology_term=KEGG_ENZYME:2.7.7.8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|823.92.peg.1101;Name=hypothetical protein	8	2	4	30	12	24	42	10	54	4	18	15	22	16	10
ID=fig|823.92.peg.1102;Name=hypothetical protein	0	2	0	0	2	0	8	0	2	0	6	3	4	0	0
ID=fig|823.92.peg.1103;Name=hypothetical protein	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ID=fig|823.92.peg.1104;Name=TPR-repeat-containing protein	6	4	4	8	8	0	16	2	6	8	18	6	8	4	4
ID=fig|823.92.peg.1105;Name=ATPase	36	54	56	46	38	24	75	16	30	72	36	40	52	40	38
ID=fig|823.92.peg.1106;Name=Fumarate hydratase class I (EC 4.2.1.2);Ontology_term=KEGG_ENZYME:4.2.1.2	92	314	248	172	264	249	295	124	146	364	372	316	292	118	102
ID=fig|823.92.peg.1107;Name=Lysyl endopeptidase (EC 3.4.21.50);Ontology_term=KEGG_ENZYME:3.4.21.50	30	24	32	32	46	70	66	26	20	85	76	62	66	22	16
ID=fig|823.92.peg.1108;Name=Immunoreactive 53 kDa antigen PG123	382	1116	1036	541	948	822	981	276	478	1476	2496	1398	1531	615	320
ID=fig|823.92.peg.1109;Name=FIG00899188: hypothetical protein	2	2	0	0	2	4	4	0	0	0	6	0	2	0	2
ID=fig|823.92.peg.1110;Name=GTP-binding protein TypA/BipA	34	60	86	60	224	39	106	60	54	106	188	68	110	36	14
ID=fig|823.92.peg.1111;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.1112;Name=SSU ribosomal protein S15p (S13e)	56	10	24	12	30	4	28	10	10	30	62	20	54	36	4
ID=fig|823.92.peg.1113;Name=Transcriptional regulator%2C Xre family	12	24	12	8	8	2	8	2	4	41	73	18	5	4	6
ID=fig|823.92.peg.1114;Name=Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3);Ontology_term=KEGG_ENZYME:6.2.1.3	21	46	19	6	22	10	24	8	6	77	149	66	27	34	13
ID=fig|823.92.peg.1115;Name=Transcriptional regulator%2C AraC family	1	6	3	0	0	0	2	0	0	16	8	4	2	0	1
ID=fig|823.92.peg.1116;Name=2%2C5-dichloro-2%2C5-cyclohexadiene-1%2C4-diol dehydrogenase	0	2	0	0	2	0	0	0	2	2	2	2	6	0	4
ID=fig|823.92.peg.1117;Name=Adenosylhomocysteinase (EC 3.3.1.1);Ontology_term=KEGG_ENZYME:3.3.1.1	58	50	75	59	156	67	97	44	40	74	138	88	82	46	22
ID=fig|823.92.peg.1118;Name=Glycosyl transferase%2C group 1	0	20	15	9	34	21	28	0	10	24	26	20	18	8	4
ID=fig|823.92.peg.1119;Name=FIG00896840: hypothetical protein	37	44	38	28	80	56	58	36	46	82	111	90	60	48	22
ID=fig|823.92.peg.1120;Name=Glycosyl transferase%2C group 2 family	13	2	2	8	14	8	12	2	2	18	15	29	8	8	2
ID=fig|823.92.peg.1121;Name=ATP-dependent DNA helicase recG (EC 3.6.1.-);Ontology_term=KEGG_ENZYME:3.6.1.-	38	16	10	6	16	10	18	6	14	14	58	21	23	20	10
ID=fig|823.92.peg.1122;Name=Glycosyl transferase%2C group 1 family protein	4	0	12	2	10	6	6	2	4	14	16	12	8	4	4
ID=fig|823.92.peg.1123;Name=hypothetical protein	2	2	0	2	2	0	0	0	2	0	2	4	2	0	0
ID=fig|823.92.peg.1124;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	8	2	0	2	0
ID=fig|823.92.peg.1125;Name=Glycosyl transferase%2C group 1	12	9	4	4	10	6	8	2	2	22	9	26	8	10	4
ID=fig|823.92.peg.1126;Name=glycosyl transferase%2C family 2	8	3	2	2	4	0	12	0	4	19	9	14	10	2	2
ID=fig|823.92.peg.1127;Name=hypothetical protein	23	8	2	2	8	2	0	2	0	5	22	14	0	4	0
ID=fig|823.92.peg.1128;Name=UDP-galactopyranose mutase (EC 5.4.99.9);Ontology_term=KEGG_ENZYME:5.4.99.9	19	6	2	11	2	0	12	4	4	18	16	22	16	6	10
ID=fig|823.92.peg.1129;Name=putative transmembrane transport protein%2C putative lipopolysaccharide biosynthesis protein	0	0	2	5	2	0	0	0	0	2	0	2	4	4	4
ID=fig|823.92.peg.1130;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
ID=fig|823.92.peg.1131;Name=oxidoreductase domain protein	36	56	48	40	52	40	60	22	20	84	59	116	46	70	30
ID=fig|823.92.peg.1132;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.1133;Name=hypothetical protein	4	0	0	2	0	0	0	0	1	0	0	2	0	2	0
ID=fig|823.92.peg.1134;Name=hypothetical protein	6	2	0	0	0	0	4	0	2	36	13	34	4	8	4
ID=fig|823.92.peg.1135;Name=hypothetical protein	24	16	0	14	0	2	4	2	6	41	33	43	10	10	4
ID=fig|823.92.peg.1136;Name=Pleiotropic regulatory protein	6	6	16	8	0	4	6	4	8	15	14	11	18	4	2
ID=fig|823.92.peg.1137;Name=Methionyl-tRNA synthetase (EC 6.1.1.10);Ontology_term=KEGG_ENZYME:6.1.1.10	22	50	50	34	134	54	96	48	42	68	172	82	74	28	38
ID=fig|823.92.peg.1138;Name=hypothetical protein	22	28	30	18	30	24	26	20	20	37	74	50	37	25	12
ID=fig|823.92.peg.1139;Name=hypothetical protein	6	13	8	2	16	4	14	2	4	39	26	22	8	5	0
ID=fig|823.92.peg.1140;Name=hypothetical protein	18	27	35	20	49	28	46	12	8	54	91	54	14	12	6
ID=fig|823.92.peg.1141;Name=FIG00897334: hypothetical protein	84	144	122	38	67	60	82	32	23	121	140	139	38	87	10
ID=fig|823.92.peg.1142;Name=FIG00896781: hypothetical protein	3	36	20	22	17	16	25	12	5	37	42	37	8	16	2
ID=fig|823.92.peg.1143;Name=FIG00897902: hypothetical protein	26	34	51	21	77	46	43	24	16	96	141	56	30	18	6
ID=fig|823.92.peg.1144;Name=FIG00897135: hypothetical protein	21	13	19	9	22	4	12	2	0	34	56	28	5	6	0
ID=fig|823.92.peg.1145;Name=FIG00897950: hypothetical protein	12	15	20	6	36	10	24	6	2	10	43	12	16	8	0
ID=fig|823.92.peg.1146;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.1147;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.1148;Name=Transcriptional regulator%2C AraC family	4	6	12	6	30	16	22	8	10	16	43	20	18	8	4
ID=fig|823.92.peg.1149;Name=MG(2+) CHELATASE FAMILY PROTEIN / ComM-related protein	12	13	23	20	26	4	6	8	4	29	20	37	24	10	8
ID=fig|823.92.peg.1150;Name=Thiol:disulfide interchange protein	24	47	41	22	34	24	30	10	14	107	105	179	84	40	34
ID=fig|823.92.peg.1151;Name=Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49);Ontology_term=KEGG_ENZYME:4.1.1.49	649	1586	1641	1241	2078	1724	2725	784	1004	1886	2820	1951	2578	1121	721
ID=fig|823.92.peg.1152;Name=2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase%2C beta subunit (EC 1.2.7.-);Ontology_term=KEGG_ENZYME:1.2.7.-	76	153	135	77	131	141	155	88	63	221	284	274	189	62	39
ID=fig|823.92.peg.1153;Name=2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase%2C gamma subunit (EC 1.2.7.-) / 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase%2C alpha subunit (EC 1.2.7.-);Ontology_term=KEGG_ENZYME:1.2.7.-,KEGG_ENZYME:1.2.7.-	168	283	329	179	319	292	339	110	122	451	590	426	388	190	85
ID=fig|823.92.peg.1154;Name=Alanine dehydrogenase (EC 1.4.1.1);Ontology_term=KEGG_ENZYME:1.4.1.1	26	18	28	22	34	24	44	14	16	51	48	46	55	6	6
ID=fig|823.92.peg.1155;Name=Shikimate kinase I (EC 2.7.1.71);Ontology_term=KEGG_ENZYME:2.7.1.71	20	22	10	14	22	18	38	14	14	42	28	40	13	6	2
ID=fig|823.92.peg.1156;Name=FIG00898945: hypothetical protein	6	10	4	14	16	4	18	12	6	17	26	8	14	0	6
ID=fig|823.92.peg.1157;Name=FIG00896393: hypothetical protein	7	20	8	12	18	8	6	8	12	31	34	23	22	24	11
ID=fig|823.92.peg.1158;Name=Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster;Ontology_term=KEGG_ENZYME:2.4.1.83	11	14	18	12	19	14	6	4	10	26	6	16	6	10	9
ID=fig|823.92.peg.1159;Name=Putative polysaccharide deacetylase	0	8	10	8	15	8	8	0	2	5	10	9	11	4	4
ID=fig|823.92.peg.1160;Name=Ribonuclease HI-related protein 3	4	2	6	0	4	2	2	0	0	14	8	2	5	0	0
ID=fig|823.92.peg.1161;Name=Mannosyltransferase	2	18	22	4	20	14	24	16	10	24	24	20	26	18	8
ID=fig|823.92.peg.1162;Name=Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52);Ontology_term=KEGG_ENZYME:2.4.1.52	4	10	12	14	26	14	20	10	4	28	14	20	4	10	6
